target_pos,cue_pos,conditions,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
0.5,-0.5,invalid ,right ,right,0,0.386925694,2,2,22,8,,,,,,,,,43.61959815,None,44.10365274,44.30392467,44.30392467,None,right,0.386925694,44.30392467,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left,left,0,0.2944954,2,3,23,4,,,,,,,,,44.71986443,None,45.20377366,45.40360252,45.40360252,None,left,0.2944954,45.40360252,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,-0.5,invalid ,right ,right,0,0.35909601,2,4,24,2,,,,,,,,,45.72009557,None,46.20405967,46.40375553,46.40375553,None,right,0.35909601,46.40375553,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left ,left,0,0.302138897,2,5,25,5,,,,,,,,,46.78687152,None,47.27024982,47.47061752,47.47061752,None,left,0.302138897,47.47061752,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,0.5,valid,right ,right,0,0.335936414,2,6,26,1,,,,,,,,,47.80284971,None,48.28705133,48.48677866,48.48677866,None,right,0.335936414,48.48677866,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,0.5,invalid ,left ,left,0,0.363205435,2,7,27,6,,,,,,,,,48.85265803,None,49.33824299,49.5532935,49.53741586,None,left,0.363205435,49.53741586,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left ,left,0,0.30232922,2,8,28,9,,,,,,,,,49.92053115,None,50.40482113,50.60441252,50.60441252,None,left,0.30232922,50.60441252,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,0.5,valid,right ,right,0,0.294244273,2,9,29,7,,,,,,,,,50.93666157,None,51.42116411,51.62030282,51.62030282,None,right,0.294244273,51.62030282,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left ,left,0,0.27775706,3,0,30,5,,,,,,,,,51.93629347,None,52.42064628,52.62071518,52.62071518,None,left,0.27775706,52.62071518,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left ,left,0,0.305507267,3,1,31,9,,,,,,,,,52.92057052,None,53.40406496,53.60396896,53.60396896,None,left,0.305507267,53.60396896,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,-0.5,invalid ,right ,right,0,0.331928315,3,2,32,2,,,,,,,,,53.9372109,None,54.42122726,54.62184514,54.62184514,None,right,0.331928315,54.62184514,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,0.5,invalid ,left ,left,0,0.332641758,3,3,33,6,,,,,,,,,54.97035805,None,55.45466106,55.65461472,55.65461472,None,left,0.332641758,55.65461472,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,0.5,valid,right ,right,0,0.335637589,3,4,34,1,,,,,,,,,56.00404353,None,56.48835443,56.68759587,56.68759587,None,right,0.335637589,56.68759587,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left,left,0,0.276369107,3,5,35,0,,,,,,,,,57.05378769,None,57.5373455,57.73792824,57.73792824,None,left,0.276369107,57.73792824,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left,left,0,0.31393519,3,6,36,4,,,,,,,,,58.03709947,None,58.5208324,58.7212786,58.7212786,None,left,0.31393519,58.7212786,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,-0.5,invalid ,right ,right,0,0.367294005,3,7,37,8,,,,,,,,,59.05432417,None,59.5377855,59.73776482,59.73776482,None,right,0.367294005,59.73776482,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,0.5,valid,right ,right,0,0.36116126,3,8,38,7,,,,,,,,,60.1369162,None,60.62169208,60.82198893,60.82198893,None,right,0.36116126,60.82198893,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,0.5,invalid ,left,left,0,0.353962867,3,9,39,3,,,,,,,,,61.20355345,None,61.68792495,61.88876078,61.88876078,None,left,0.353962867,61.88876078,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,-0.5,invalid ,right ,right,0,0.443599982,4,0,40,2,,,,,,,,,62.27167168,None,62.75524092,62.95446183,62.95446183,None,right,0.443599982,62.95446183,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left,left,0,0.307711437,4,1,41,4,,,,,,,,,63.42085641,None,63.90496755,64.1052103,64.1052103,None,left,0.307711437,64.1052103,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left ,left,0,0.327919418,4,2,42,9,,,,,,,,,64.43788619,None,64.92206013,65.12106547,65.12106547,None,left,0.327919418,65.12106547,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,0.5,valid,right ,right,0,0.344471325,4,3,43,7,,,,,,,,,65.47081583,None,65.95556576,66.17243193,66.15448198,None,right,0.344471325,66.15448198,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,-0.5,invalid ,right ,right,0,0.432451511,4,4,44,8,,,,,,,,,66.52089449,None,67.00456589,67.20468149,67.20468149,None,right,0.432451511,67.20468149,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,0.5,invalid ,left,left,0,0.337335233,4,5,45,3,,,,,,,,,67.65409412,None,68.13900895,68.33886602,68.33886602,None,left,0.337335233,68.33886602,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,0.5,valid,right ,right,0,0.322744312,4,6,46,1,,,,,,,,,68.70565048,None,69.18804888,69.38908814,69.38908814,None,right,0.322744312,69.38908814,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left,left,0,0.311009605,4,7,47,0,,,,,,,,,69.73891148,None,70.22160194,70.42176113,70.42176113,None,left,0.311009605,70.42176113,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left ,left,0,0.340152947,4,8,48,5,,,,,,,,,70.75550249,None,71.23847433,71.4395504,71.4395504,None,left,0.340152947,71.4395504,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,0.5,invalid ,left ,left,0,0.378417995,4,9,49,6,,,,,,,,,71.80490454,None,72.28951289,72.50561252,72.48907486,None,left,0.378417995,72.48907486,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
