target_pos,cue_pos,condition,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
-0.5,-0.5,valid,left ,left,0,0.522893275,2,3,23,9,,,,,,,,,62.4246279,None,62.90763481,63.10778632,63.10778632,None,left,0.522893275,63.10778632,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left ,left,0,0.518082222,2,4,24,5,,,,,,,,,63.65826948,None,64.14100486,64.34141234,64.34141234,None,left,0.518082222,64.34141234,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,0.5,valid,right ,right,0,0.42171083,2,5,25,7,,,,,,,,,64.89158177,None,65.37479985,65.57486818,65.57486818,None,right,0.42171083,65.57486818,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,0.5,invalid,left,left,0,0.503906942,2,6,26,3,,,,,,,,,66.02480178,None,66.50836743,66.70764008,66.70764008,None,left,0.503906942,66.70764008,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,0.5,invalid,left ,left,0,0.641215481,2,7,27,6,,,,,,,,,67.24061427,None,67.72478096,67.92509396,67.92509396,None,left,0.641215481,67.92509396,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,-0.5,invalid,right ,right,0,0.440772527,2,8,28,8,,,,,,,,,68.59018117,None,69.07344104,69.27346306,69.27346306,None,right,0.440772527,69.27346306,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left,left,0,0.51512056,2,9,29,0,,,,,,,,,69.7403645,None,70.22350839,70.42315573,70.42315573,None,left,0.51512056,70.42315573,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,0.5,invalid,left,left,0,0.703931146,3,0,30,3,,,,,,,,,70.95646939,None,71.44022669,71.64030586,71.64030586,None,left,0.703931146,71.64030586,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left,left,0,0.541621285,3,1,31,4,,,,,,,,,72.37356179,None,72.85660495,73.05742589,73.05742589,None,left,0.541621285,73.05742589,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,0.5,valid,right ,right,0,0.476864031,3,2,32,7,,,,,,,,,73.6238871,None,74.10754228,74.30711253,74.30711253,None,right,0.476864031,74.30711253,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
