target_pos,cue_pos,conditions ,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
-0.5,-0.5,valid,left ,left,0,0.248051288,2,3,23,5,,,,,,,,,68.28372377,None,68.76719644,68.96673779,68.96673779,None,left,0.248051288,68.96673779,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,0.5,invalid,left,right,1,0.251054442,2,4,24,3,,,,,,,,,69.23391096,None,69.71728234,69.91744925,69.91744925,None,right,0.251054442,69.91744925,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,-0.5,invalid,right ,right,0,0.82524482,2,5,25,2,,,,,,,,,70.20069293,None,70.68329361,70.88422017,70.88422017,None,right,0.82524482,70.88422017,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,0.5,invalid,left ,left,0,0.25397799,2,6,26,6,,,,,,,,,71.73340635,None,72.2175038,72.41760603,72.41760603,None,left,0.25397799,72.41760603,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,0.5,invalid,right ,left,1,0.28276587,2,7,27,1,,,,,,,,,72.70065878,None,73.18451692,73.38385094,73.38385094,None,left,0.28276587,73.38385094,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left,left,0,0.30980003,2,8,28,4,,,,,,,,,73.68339358,None,74.16768384,74.36765569,74.36765569,None,left,0.30980003,74.36765569,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,-0.5,invalid,right ,right,1,0.255488127,2,9,29,8,,,,,,,,,74.70082297,None,75.18438549,75.3848016,75.3848016,None,right,0.255488127,75.3848016,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left,left,0,0.342193755,3,0,30,4,,,,,,,,,75.66796888,None,76.1508001,76.35113178,76.35113178,None,left,0.342193755,76.35113178,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left,left,0,0.36751818,3,1,31,0,,,,,,,,,76.71666797,None,77.20114701,77.40064322,77.40064322,None,left,0.36751818,77.40064322,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,0.5,valid,right ,right,0,0.23177238,3,2,32,7,,,,,,,,,77.80142238,None,78.28469801,78.48451834,78.48451834,None,right,0.23177238,78.48451834,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
