target_pos,cue_pos,condition ,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
0.5,-0.5,invalid,right ,right,0,0.341815802,2,3,23,8,,,,,,,,,40.44351289,None,40.92610848,41.12641338,41.12641338,None,right,0.341815802,41.12641338,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,-0.5,invalid,right ,right,0,0.302085943,2,4,24,2,,,,,,,,,41.49322442,None,41.97625942,42.17708744,42.17708744,None,right,0.302085943,42.17708744,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left ,left,0,0.313545265,2,5,25,5,,,,,,,,,42.50959699,None,42.9939277,43.19374544,43.19374544,None,left,0.313545265,43.19374544,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left ,left,0,0.28374107,2,6,26,9,,,,,,,,,43.5272855,None,44.01000137,44.2102701,44.2102701,None,left,0.28374107,44.2102701,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,0.5,valid,right ,right,0,0.276615479,2,7,27,7,,,,,,,,,44.52860356,None,45.01001169,45.20975892,45.20975892,None,right,0.276615479,45.20975892,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left,left,0,0.245161643,2,8,28,4,,,,,,,,,45.50956603,None,45.99400861,46.19381689,46.19381689,None,left,0.245161643,46.19381689,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,0.5,valid,right ,right,0,0.268507437,2,9,29,1,,,,,,,,,46.46023561,None,46.94292801,47.14348226,47.14348226,None,right,0.268507437,47.14348226,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,0.5,valid,right ,right,0,0.323619478,3,0,30,1,,,,,,,,,47.44404189,None,47.92712467,48.1272488,48.1272488,None,right,0.323619478,48.1272488,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left,left,0,0.258148342,3,1,31,4,,,,,,,,,48.47625806,None,48.96159921,49.17759585,49.16083362,None,left,0.258148342,49.16083362,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,0.5,invalid,left,left,0,0.437710895,3,2,32,3,,,,,,,,,49.44318115,None,49.92654231,50.12723661,50.12723661,None,left,0.437710895,50.12723661,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,0.5,invalid,left ,left,0,0.395841685,3,3,33,6,,,,,,,,,50.59383086,None,51.07731088,51.27685813,51.27685813,None,left,0.395841685,51.27685813,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,-0.5,invalid,right ,right,0,0.333882729,3,4,34,8,,,,,,,,,51.69361123,None,52.17754903,52.37778159,52.37778159,None,right,0.333882729,52.37778159,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,-0.5,invalid,right ,right,0,0.386796653,3,5,35,2,,,,,,,,,52.7441336,None,53.22737788,53.42791475,53.42791475,None,right,0.386796653,53.42791475,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left ,left,0,0.277814433,3,6,36,9,,,,,,,,,53.84344199,None,54.32761673,54.52791226,54.52791226,None,left,0.277814433,54.52791226,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,0.5,valid,right ,right,0,0.295542947,3,7,37,7,,,,,,,,,54.82631646,None,55.31101097,55.51114172,55.51114172,None,right,0.295542947,55.51114172,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left,left,0,0.34681763,3,8,38,0,,,,,,,,,55.8270644,None,56.31054982,56.51082,56.51082,None,left,0.34681763,56.51082,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left ,left,0,0.315550311,3,9,39,5,,,,,,,,,56.87763463,None,57.36100786,57.56126652,57.56126652,None,left,0.315550311,57.56126652,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,0.5,invalid,left,left,0,0.438259988,4,0,40,3,,,,,,,,,57.89413583,None,58.37807464,58.57800429,58.57800429,None,left,0.438259988,58.57800429,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,0.5,valid,right ,right,0,0.340616498,4,1,41,7,,,,,,,,,59.04405257,None,59.52845572,59.72812235,59.72812235,None,right,0.340616498,59.72812235,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,-0.5,invalid,right ,right,0,0.413265812,4,2,42,8,,,,,,,,,60.0947705,None,60.57817872,60.77814614,60.77814614,None,right,0.413265812,60.77814614,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left ,left,0,0.299090153,4,3,43,9,,,,,,,,,61.21097884,None,61.69471122,61.91129712,61.89544995,None,left,0.299090153,61.89544995,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left,left,0,0.343281273,4,4,44,4,,,,,,,,,62.21136416,None,62.69445531,62.89490025,62.89490025,None,left,0.343281273,62.89490025,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,-0.5,invalid,right ,right,0,0.315271409,4,5,45,2,,,,,,,,,63.26279675,None,63.74409404,63.94447325,63.94447325,None,right,0.315271409,63.94447325,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,invalid,left,left,0,0.314275297,4,6,46,0,,,,,,,,,64.27710747,None,64.76247264,64.96083495,64.96083495,None,left,0.314275297,64.96083495,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,0.5,valid,right ,right,0,0.336202409,4,7,47,1,,,,,,,,,65.2941181,None,65.77869714,65.99579942,65.97794692,None,right,0.336202409,65.97794692,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left ,left,0,0.294252615,4,8,48,5,,,,,,,,,66.34424409,None,66.82833721,67.02776456,67.02776456,None,left,0.294252615,67.02776456,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,0.5,invalid,left ,left,0,0.429676495,4,9,49,6,,,,,,,,,67.34469813,None,67.82823106,68.02851137,68.02851137,None,left,0.429676495,68.02851137,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
