target_pos,cue_pos,condition,corrAns,resp.keys,no. of errors,resp.rt,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
-0.5,-0.5,valid,left,left,0,0.325143935,3,23,0,,,,,,,,,51.23427627,None,51.71894494,51.91889082,51.91889082,None,left,0.325143935,51.91889082,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,-0.5,valid,left ,left,0,0.347264132,4,24,5,,,,,,,,,52.26867081,None,52.75218043,52.95184297,52.95184297,None,left,0.347264132,52.95184297,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
0.5,0.5,valid,right ,right,0,0.32027896,5,25,1,,,,,,,,,53.31852791,None,53.80275345,54.00283089,54.00283089,None,right,0.32027896,54.00283089,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,0.5,invalid,left ,left,0,0.313706908,6,26,6,,,,,,,,,54.35244752,None,54.83559993,55.0363632,55.0363632,None,left,0.313706908,55.0363632,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
0.5,-0.5,invalid,right ,right,0,0.329737517,7,27,2,,,,,,,,,55.36937022,None,55.85201679,56.05230345,56.05230345,None,right,0.329737517,56.05230345,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,0.5,invalid,left,left,0,0.330812495,8,28,3,,,,,,,,,56.40092626,None,56.88447373,57.08499097,57.08499097,None,left,0.330812495,57.08499097,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,-0.5,valid,left ,left,0,0.355093393,9,29,9,,,,,,,,,57.43513322,None,57.91812111,58.11866622,58.11866622,None,left,0.355093393,58.11866622,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
0.5,0.5,valid,right ,right,0,0.460980305,0,30,1,,,,,,,,,58.50162673,None,58.98495294,59.18599406,59.18599406,None,right,0.460980305,59.18599406,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,-0.5,valid,left,left,0,0.354924165,1,31,4,,,,,,,,,59.6682015,None,60.15282155,60.35292101,60.35292101,None,left,0.354924165,60.35292101,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
0.5,-0.5,invalid,right ,right,0,0.31717907,2,32,2,,,,,,,,,60.73665301,None,61.21901329,61.41881683,61.41881683,None,right,0.31717907,61.41881683,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,0.5,invalid,left ,left,0,0.319395394,3,33,6,,,,,,,,,61.75255191,None,62.23616015,62.43541699,62.43541699,None,left,0.319395394,62.43541699,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,-0.5,valid,left ,left,0,0.359382738,4,34,5,,,,,,,,,62.78461851,None,63.26972464,63.47025538,63.47025538,None,left,0.359382738,63.47025538,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
0.5,-0.5,invalid,right ,right,0,0.37477014,5,35,8,,,,,,,,,63.85253002,None,64.33656877,64.53688777,64.53688777,None,right,0.37477014,64.53688777,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,-0.5,valid,left,left,0,0.379332722,6,36,0,,,,,,,,,64.93577027,None,65.42025435,65.6201045,65.6201045,None,left,0.379332722,65.6201045,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
0.5,0.5,valid,right ,right,0,0.364166702,7,37,7,,,,,,,,,66.01992228,None,66.50385401,66.70355181,66.70355181,None,right,0.364166702,66.70355181,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,0.5,invalid,left,left,0,0.32641428,8,38,3,,,,,,,,,67.08607057,None,67.56924768,67.77017228,67.77017228,None,left,0.32641428,67.77017228,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,-0.5,valid,left ,left,0,0.351894492,9,39,9,,,,,,,,,68.11960459,None,68.60329722,68.80239338,68.80239338,None,left,0.351894492,68.80239338,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,-0.5,valid,left,left,0,0.402221338,0,40,4,,,,,,,,,69.18726777,None,69.66982696,69.87026637,69.87026637,None,left,0.402221338,69.87026637,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
0.5,-0.5,invalid,right ,right,0,0.346176037,1,41,2,,,,,,,,,70.303012,None,70.78549857,70.98601928,70.98601928,None,right,0.346176037,70.98601928,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
0.5,0.5,valid,right ,right,0,0.421614107,2,42,7,,,,,,,,,71.35197353,None,71.83585582,72.03552849,72.03552849,None,right,0.421614107,72.03552849,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,-0.5,valid,left,left,0,0.311668435,3,43,0,,,,,,,,,72.48552776,None,72.97041099,73.17046843,73.17046843,None,left,0.311668435,73.17046843,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,0.5,invalid,left,left,0,0.34473641,4,44,3,,,,,,,,,73.50379978,None,73.98645828,74.18731844,74.18731844,None,left,0.34473641,74.18731844,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,-0.5,valid,left ,left,0,0.51800214,5,45,5,,,,,,,,,74.55320747,None,75.03740758,75.23707776,75.23707776,None,left,0.51800214,75.23707776,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,0.5,invalid,left ,left,0,0.442571696,6,46,6,,,,,,,,,75.7866258,None,76.27021125,76.47036192,76.47036192,None,left,0.442571696,76.47036192,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
0.5,0.5,valid,right ,right,0,0.348581914,7,47,1,,,,,,,,,76.93601057,None,77.41951859,77.61943515,77.61943515,None,right,0.348581914,77.61943515,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
-0.5,-0.5,valid,left ,left,0,0.348396637,8,48,9,,,,,,,,,77.98741699,None,78.47119013,78.68601889,78.66946356,None,left,0.348396637,78.66946356,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
0.5,-0.5,invalid,right ,right,0,0.361799421,9,49,8,,,,,,,,,79.03622179,None,79.5191533,79.71992733,79.71992733,None,right,0.361799421,79.71992733,None,C,1,2021_Apr_09_1126,Posner_Cueing_Task,2020.2.10,60.09558648
