target_pos,cue_pos,conditions,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
0.5,-0.5,invalid,right ,right,0,0.476765975,2,3,23,8,,,,,,,,,54.29283488,None,54.77608435,54.97627332,54.97627332,None,right,0.476765975,54.97627332,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,0.5,invalid,left ,left,0,0.46163828,2,4,24,6,,,,,,,,,55.47560857,None,55.95951269,56.15925368,56.15925368,None,left,0.46163828,56.15925368,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,0.5,invalid,left,left,0,0.437540668,2,5,25,3,,,,,,,,,56.64263438,None,57.12544912,57.3264287,57.3264287,None,left,0.437540668,57.3264287,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left,left,0,0.416414855,2,6,26,4,,,,,,,,,57.79316736,None,58.276163,58.47648236,58.47648236,None,left,0.416414855,58.47648236,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,0.5,valid,right ,right,0,0.369590993,2,7,27,7,,,,,,,,,58.90884795,None,59.39322937,59.60817495,59.5921167,None,right,0.369590993,59.5921167,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,-0.5,invalid,right ,right,0,0.45406819,2,8,28,2,,,,,,,,,59.99332236,None,60.47675131,60.67673157,60.67673157,None,right,0.45406819,60.67673157,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left ,left,0,0.337532878,2,9,29,9,,,,,,,,,61.16030566,None,61.64341222,61.84324009,61.84324009,None,left,0.337532878,61.84324009,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left,left,0,0.3591635,3,0,30,4,,,,,,,,,62.21010475,None,62.69337965,62.89352686,62.89352686,None,left,0.3591635,62.89352686,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,0.5,invalid,left ,left,0,0.356303028,3,1,31,6,,,,,,,,,63.27676022,None,63.75933995,63.96030801,63.96030801,None,left,0.356303028,63.96030801,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left ,left,0,0.3787954,3,2,32,9,,,,,,,,,64.34267674,None,64.82665032,65.02675726,65.02675726,None,left,0.3787954,65.02675726,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,0.5,valid,right ,right,0,0.327963627,3,3,33,7,,,,,,,,,65.42695503,None,65.91022625,66.11041762,66.11041762,None,right,0.327963627,66.11041762,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,-0.5,invalid,right ,right,0,0.440589235,3,4,34,8,,,,,,,,,66.45939324,None,66.94361234,67.14379441,67.14379441,None,right,0.440589235,67.14379441,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,0.5,valid,right ,right,0,0.457087807,3,5,35,1,,,,,,,,,67.61029653,None,68.09360564,68.29332033,68.29332033,None,right,0.457087807,68.29332033,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,0.5,invalid,left,left,0,0.39691242,3,6,36,3,,,,,,,,,68.77610346,None,69.26065675,69.46047536,69.46047536,None,left,0.39691242,69.46047536,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,-0.5,invalid,right ,right,0,0.456644087,3,7,37,2,,,,,,,,,69.87730726,None,70.36073241,70.56070242,70.56070242,None,right,0.456644087,70.56070242,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left,left,0,0.373871098,3,8,38,0,,,,,,,,,71.04399635,None,71.52768197,71.72738909,71.72738909,None,left,0.373871098,71.72738909,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
